,Plug Type,Depth,Pixel Location,Source
0,hplug,3701.0166126418153,41.0,images/6407_1_3_3701_3702.jpg
1,vplug,3701.0255267423013,63.0,images/6407_1_3_3701_3702.jpg
2,scal,3701.092179902755,227.5,images/6407_1_3_3701_3702.jpg
3,hplug,3701.322325769854,795.5,images/6407_1_3_3701_3702.jpg
4,vplug,3701.663897893031,1638.5,images/6407_1_3_3701_3702.jpg
5,scal,3702.0941940722696,232.0,images/6407_1_3_3702_3703.jpg
6,vplug,3702.309784815266,763.0,images/6407_1_3_3702_3703.jpg
7,hplug,3702.312017864393,768.5,images/6407_1_3_3702_3703.jpg
8,hplug,3702.6751928542426,1663.0,images/6407_1_3_3702_3703.jpg
9,vplug,4317.052481902792,101.5,images/6406_3_2_4317_4318.jpg
10,hplug,4317.058169596691,112.5,images/6406_3_2_4317_4318.jpg
11,vplug,4317.2732678386765,528.5,images/6406_3_2_4317_4318.jpg
12,hplug,4317.257238883144,497.5,images/6406_3_2_4317_4318.jpg
13,hplug,4317.546018614271,1056.0,images/6406_3_2_4317_4318.jpg
14,vplug,4317.573940020682,1110.0,images/6406_3_2_4317_4318.jpg
15,vplug,4317.67993795243,1315.0,images/6406_3_2_4317_4318.jpg
16,hplug,4317.692864529473,1340.0,images/6406_3_2_4317_4318.jpg
17,scal,4317.825232678387,1596.0,images/6406_3_2_4317_4318.jpg
18,scal,4317.88107549121,1704.0,images/6406_3_2_4317_4318.jpg
19,vplug,3939.249356664951,484.5,images/6406_3_2_3939_3940.jpg
20,hplug,3939.25579001544,497.0,images/6406_3_2_3939_3940.jpg
21,scal,3939.320895522388,623.5,images/6406_3_2_3939_3940.jpg
22,scal,3939.3705609881627,720.0,images/6406_3_2_3939_3940.jpg
23,vplug,3939.479670612455,932.0,images/6406_3_2_3939_3940.jpg
24,hplug,3939.508749356665,988.5,images/6406_3_2_3939_3940.jpg
25,hplug,3939.739577972208,1437.0,images/6406_3_2_3939_3940.jpg
26,vplug,3953.0430274753758,83.0,images/6406_3_2_3953_3954.jpg
27,hplug,3953.0487299118713,94.0,images/6406_3_2_3953_3954.jpg
28,vplug,3953.250907205806,484.0,images/6406_3_2_3953_3954.jpg
29,hplug,3953.2496111975115,481.5,images/6406_3_2_3953_3954.jpg
30,vplug,3953.4569725246242,881.5,images/6406_3_2_3953_3954.jpg
31,hplug,3953.494815966822,954.5,images/6406_3_2_3953_3954.jpg
32,scal,3953.6345256609643,1224.0,images/6406_3_2_3953_3954.jpg
33,scal,3953.69854847071,1347.5,images/6406_3_2_3953_3954.jpg
34,vplug,3953.798859512701,1541.0,images/6406_3_2_3953_3954.jpg
35,hplug,3953.7804561949197,1505.5,images/6406_3_2_3953_3954.jpg
36,vplug,3953.9569725246242,1846.0,images/6406_3_2_3953_3954.jpg
37,hplug,3953.9580093312597,1848.0,images/6406_3_2_3953_3954.jpg
38,hplug,4370.091666666666,220.0,images/6406_3_2_4370_4371.jpg
39,scal,4370.170833333334,410.0,images/6406_3_2_4370_4371.jpg
40,scal,4370.2266666666665,544.0,images/6406_3_2_4370_4371.jpg
41,vplug,4370.32625,783.0,images/6406_3_2_4370_4371.jpg
42,hplug,4370.305625,733.5,images/6406_3_2_4370_4371.jpg
43,hplug,4370.452916666667,1087.0,images/6406_3_2_4370_4371.jpg
44,hplug,4370.764583333334,1835.0,images/6406_3_2_4370_4371.jpg
45,vplug,4311.0482742537315,103.5,images/6406_3_2_4311_4312.jpg
46,hplug,4311.038945895522,83.5,images/6406_3_2_4311_4312.jpg
47,vplug,4311.25583022388,548.5,images/6406_3_2_4311_4312.jpg
48,hplug,4311.246035447762,527.5,images/6406_3_2_4311_4312.jpg
49,vplug,4311.4995335820895,1071.0,images/6406_3_2_4311_4312.jpg
50,hplug,4311.49020522388,1051.0,images/6406_3_2_4311_4312.jpg
51,hplug,4311.7513992537315,1611.0,images/6406_3_2_4311_4312.jpg
52,scal,4311.8617070895525,1847.5,images/6406_3_2_4311_4312.jpg
